Thread ID: 2148405680
Total: 0.017096

 %self     total     self     wait    child    calls  name
  0.10      0.00     0.00     0.00     0.00        7  Kernel#inspect
  0.10      0.00     0.00     0.00     0.00        2  ActionView::Template#mime_type
  0.10      0.00     0.00     0.00     0.00        1  ActionController::Base#request_origin
  0.09      0.00     0.00     0.00     0.00        2  ActionView::Renderable#render_without_template_tracking
  0.09      0.02     0.00     0.00     0.02        1  ActionController::Integration::Runner#get
  0.09      0.00     0.00     0.00     0.00        1  Time#strftime
  0.09      0.00     0.00     0.00     0.00        2  ActionController::Request#method
  0.09      0.00     0.00     0.00     0.00        1  ActionView::Base#initialize
  0.09      0.00     0.00     0.00     0.00        4  ActionView::Base#template=
  0.09      0.01     0.00     0.00     0.01        1  ActionController::Rescue#clean_backtrace
  0.09      0.00     0.00     0.00     0.00       10  Array#size
  0.09      0.00     0.00     0.00     0.00        1  ActionController::ProcessWithTest#set_test_assigns
  0.09      0.00     0.00     0.00     0.00        1  MonitorMixin::ConditionVariable#signal
  0.09      0.00     0.00     0.00     0.00        7  Fixnum#to_s
  0.09      0.00     0.00     0.00     0.00        7  ActionController::Base#logger
  0.09      0.00     0.00     0.00     0.00        1  ActionController::Response#convert_cookies!
  0.09      0.00     0.00     0.00     0.00        1  ActionView::Base#initialize_without_template_tracking
  0.09      0.00     0.00     0.00     0.00        6  Enumerable#find
  0.09      0.00     0.00     0.00     0.00        7  String#concat
  0.09      0.01     0.00     0.00     0.01        1  Rack::Lock#call
  0.09      0.00     0.00     0.00     0.00        4  Array#join
  0.09      0.00     0.00     0.00     0.00        5  Array#include?
  0.09      0.00     0.00     0.00     0.00        2  Rack::Utils::HeaderHash#include?
  0.08      0.00     0.00     0.00     0.00        2  <Class::ActionController::Base>#view_paths
  0.08      0.00     0.00     0.00     0.00        1  <Class::ActionView::Base>#process_view_paths
  0.08      0.00     0.00     0.00     0.00        8  Hash#initialize
  0.08      0.00     0.00     0.00     0.00        1  ActiveSupport::Callbacks::Callback#evaluate_method
  0.08      0.00     0.00     0.00     0.00        7  Hash#each_pair
  0.08      0.00     0.00     0.00     0.00        1  ActionView::Base#view_paths=
  0.08      0.00     0.00     0.00     0.00        1  Module#blankslate_original_append_features
  0.08      0.00     0.00     0.00     0.00        1  Rack::Response#to_a
  0.08      0.00     0.00     0.00     0.00        1  ActionController::Rescue#template_path_for_local_rescue
  0.08      0.00     0.00     0.00     0.00        1  ActionController::Response#default_charset
  0.08      0.01     0.00     0.00     0.01        1  Rack::MethodOverride#call
  0.08      0.00     0.00     0.00     0.00        1  MonitorMixin#mon_enter
  0.08      0.00     0.00     0.00     0.00        2  ActionView::Base#_evaluate_assigns_and_ivars
  0.08      0.00     0.00     0.00     0.00        4  ActionController::Request#request_method
  0.08      0.00     0.00     0.00     0.00        2  ActiveSupport::BufferedLogger#info
  0.08      0.00     0.00     0.00     0.00        3  Rack::Utils::HeaderHash#each
  0.08      0.00     0.00     0.00     0.00        2  ActionController::Rescue#rescues_path
  0.08      0.00     0.00     0.00     0.00        7  Fixnum#>=
  0.08      0.00     0.00     0.00     0.00        2  ActionView::Template::EagerPath#[]
  0.08      0.00     0.00     0.00     0.00        2  MonitorMixin#mon_check_owner
  0.08      0.00     0.00     0.00     0.00        2  ActionView::PathSet#find_template
  0.08      0.00     0.00     0.00     0.00        4  Rack::Request#initialize
  0.08      0.00     0.00     0.00     0.00        1  Class#new_without_capture
  0.08      0.00     0.00     0.00     0.00        1  ActionController::ParamsParser#parse_formatted_parameters
  0.08      0.00     0.00     0.00     0.00        4  HashWithIndifferentAccess#delete
  0.08      0.00     0.00     0.00     0.00        1  Rack::Lint#check_headers
  0.08      0.00     0.00     0.00     0.00        1  ActionController::Response#assign_default_content_type_and_charset!
  0.08      0.00     0.00     0.00     0.00        1  Symbol#to_proc
  0.08      0.00     0.00     0.00     0.00        1  ActionView::Base::ProxyModule#include
  0.08      0.00     0.00     0.00     0.00        1  ActionController::Request#template_format
  0.08      0.00     0.00     0.00     0.00        1  ActionController::Session::CookieStore#prepare!
  0.08      0.00     0.00     0.00     0.00        8  Class#superclass
  0.07      0.00     0.00     0.00     0.00        7  Kernel#String
  0.07      0.00     0.00     0.00     0.00        5  ActionController::Base#request
  0.07      0.00     0.00     0.00     0.00        2  Class#read_inheritable_attribute
  0.07      0.00     0.00     0.00     0.00        1  ActiveSupport::CoreExtensions::Time::Conversions#to_s
  0.07      0.00     0.00     0.00     0.00        2  ActionController::Session::AbstractStore::OptionsHash#[]
  0.07      0.00     0.00     0.00     0.00        2  Kernel#extend
  0.07      0.00     0.00     0.00     0.00        1  HashWithIndifferentAccess#merge
  0.07      0.00     0.00     0.00     0.00        2  ActionView::Template#render_template
  0.07      0.00     0.00     0.00     0.00        7  NilClass#to_s
  0.07      0.00     0.00     0.00     0.00        3  String#to_i
  0.07      0.01     0.00     0.00     0.01        1  Rack::Head#call
  0.07      0.00     0.00     0.00     0.00        1  ERB::Util#h
  0.07      0.00     0.00     0.00     0.00        4  NilClass#blank?
  0.07      0.00     0.00     0.00     0.00        3  Object#present?
  0.07      0.01     0.00     0.00     0.01        1  ActionController::StringCoercion#call
  0.07      0.00     0.00     0.00     0.00        8  Kernel#instance_variable_get
  0.07      0.00     0.00     0.00     0.00        1  ActionController::Response#charset=
  0.06      0.00     0.00     0.00     0.00        2  ActiveRecord::ConnectionAdapters::ConnectionPool#current_connection_id
  0.06      0.00     0.00     0.00     0.00        6  String#+
  0.06      0.00     0.00     0.00     0.00        3  Kernel#Array
  0.06      0.00     0.00     0.00     0.00        2  HashWithIndifferentAccess#include?
  0.06      0.00     0.00     0.00     0.00        2  <Class::Rack::Utils::HeaderHash>#new
  0.06      0.00     0.00     0.00     0.00        1  <Class::ActionController::Dispatcher>#after_dispatch_callback_chain
  0.06      0.00     0.00     0.00     0.00        1  ActionController::Base#initialize_current_url
  0.06      0.00     0.00     0.00     0.00        1  ActionController::Response#handle_conditional_get!
  0.06      0.00     0.00     0.00     0.00        1  ActiveRecord::ConnectionAdapters::ConnectionPool#release_connection
  0.06      0.00     0.00     0.00     0.00        6  <Class::Thread>#critical=
  0.06      0.00     0.00     0.00     0.00        2  StringIO#initialize
  0.06      0.00     0.00     0.00     0.00        4  NilClass#nil?
  0.06      0.00     0.00     0.00     0.00        1  ActiveSupport::Callbacks::Callback#call
  0.06      0.00     0.00     0.00     0.00        1  Rack::Lint#check_input
  0.06      0.00     0.00     0.00     0.00        1  Module#append_features
  0.06      0.00     0.00     0.00     0.00        1  Hash#update
  0.06      0.00     0.00     0.00     0.00        1  Kernel#lambda
  0.06      0.00     0.00     0.00     0.00        1  ActionController::Response#nonempty_ok_response?
  0.06      0.01     0.00     0.00     0.01        1  ActionController::ParamsParser#call
  0.06      0.00     0.00     0.00     0.00        1  ActionController::Request#form_data?
  0.06      0.00     0.00     0.00     0.00        1  ActionController::Request#request_uri
  0.06      0.00     0.00     0.00     0.00        1  Rack::Lint#each
  0.06      0.00     0.00     0.00     0.00        1  ActionController::Routing::RouteSet#call
  0.06      0.00     0.00     0.00     0.00        1  ActiveSupport::CoreExtensions::Hash::Except#except!
  0.06      0.00     0.00     0.00     0.00        1  <Class::ActiveRecord::Base>#clear_active_connections!
  0.06      0.00     0.00     0.00     0.00        1  ActionController::Integration::ControllerCapture::ClassMethods#new
  0.06      0.00     0.00     0.00     0.00        2  Rack::Request#request_method
  0.06      0.00     0.00     0.00     0.00        4  ActionController::Base#params
  0.06      0.00     0.00     0.00     0.00        4  String#to_sym
  0.06      0.00     0.00     0.00     0.00        3  Mime::Type#to_s
  0.06      0.00     0.00     0.00     0.00        4  Module#name
  0.05      0.00     0.00     0.00     0.00        2  <Class::ActiveRecord::Base>#connection_handler
  0.05      0.00     0.00     0.00     0.00        2  HashWithIndifferentAccess#dup
  0.05      0.00     0.00     0.00     0.00        1  ActiveSupport::BufferedLogger#fatal
  0.05      0.00     0.00     0.00     0.00        2  Rack::Request#parse_query
  0.05      0.01     0.00     0.00     0.01        1  ActiveRecord::QueryCache#call
  0.05      0.00     0.00     0.00     0.00        1  ActionController::Base#rescue_handlers
  0.05      0.00     0.00     0.00     0.00        1  Rack::Lint#close
  0.05      0.01     0.00     0.00     0.01        1  ActionController::Rescue#rescue_action
  0.05      0.00     0.00     0.00     0.00        1  ActionController::Session::AbstractStore::OptionsHash#initialize
  0.05      0.00     0.00     0.00     0.00        1  ActionController::Rescue#response_code_for_rescue
  0.05      0.00     0.00     0.00     0.00        1  ActionView::Template#path_without_format_and_extension
  0.05      0.00     0.00     0.00     0.00        3  ActionController::Integration::Session#https?
  0.05      0.00     0.00     0.00     0.00        1  ActionController::Request#request_parameters
  0.05      0.00     0.00     0.00     0.00        1  Rack::Utils::HeaderHash#initialize
  0.05      0.00     0.00     0.00     0.00        2  <Class::StringIO>#allocate
  0.05      0.00     0.00     0.00     0.00        1  Kernel#instance_eval
  0.05      0.00     0.00     0.00     0.00        1  ActionController::Base#send_response
  0.05      0.00     0.00     0.00     0.00        1  String#html_safe
  0.05      0.00     0.00     0.00     0.00        1  <Class::ActionView::PathSet>#type_cast
  0.05      0.00     0.00     0.00     0.00        1  Array#inspect
  0.05      0.00     0.00     0.00     0.00        1  ActiveSupport::BacktraceCleaner#silence
  0.05      0.00     0.00     0.00     0.00        1  ActiveRecord::ConnectionAdapters::ConnectionPool#checkin
  0.05      0.00     0.00     0.00     0.00        2  Set#include?
  0.05      0.00     0.00     0.00     0.00        1  ActiveRecord::ConnectionAdapters::ConnectionHandler#retrieve_connection
  0.05      0.01     0.00     0.00     0.01        1  ActionController::Rescue#log_error
  0.05      0.00     0.00     0.00     0.00        1  <Module::Rack::Utils::Multipart>#parse_multipart
  0.05      0.01     0.00     0.00     0.01        1  ActionController::Filters::InstanceMethods#process
  0.05      0.01     0.00     0.00     0.01        1  ActionController::Dispatcher#call
  0.05      0.00     0.00     0.00     0.00        1  <Class::ActionController::Dispatcher>#before_dispatch_callback_chain
  0.05      0.00     0.00     0.00     0.00        1  ActionController::Session::AbstractStore::SessionHash#initialize
  0.05      0.01     0.00     0.00     0.01        1  ActiveSupport::BacktraceCleaner#clean
  0.05      0.00     0.00     0.00     0.00        1  <Class::ActionController::Base>#master_helper_module
  0.05      0.00     0.00     0.00     0.00        1  ActionController::Integration::Runner#copy_session_variables!
  0.05      0.00     0.00     0.00     0.00        1  ActiveRecord::ConnectionAdapters::ConnectionHandler#retrieve_connection_pool
  0.04      0.00     0.00     0.00     0.00        2  ActiveSupport::CoreExtensions::Hash::ReverseMerge#reverse_merge
  0.04      0.00     0.00     0.00     0.00        3  String#=~
  0.04      0.00     0.00     0.00     0.00        1  ActionView::PathSet#initialize
  0.04      0.00     0.00     0.00     0.00        1  ActionController::Request#query_parameters
  0.04      0.00     0.00     0.00     0.00        1  ActionController::Response#convert_content_type!
  0.04      0.00     0.00     0.00     0.00        1  String#scan
  0.04      0.02     0.00     0.00     0.02        1  Rack::Lint#call
  0.04      0.00     0.00     0.00     0.00        1  ActionController::Dispatcher#flush_logger
  0.04      0.00     0.00     0.00     0.00        4  Array#shift
  0.04      0.00     0.00     0.00     0.00        1  Rack::Lint::InputWrapper#rewind
  0.04      0.00     0.00     0.00     0.00        1  Object#blank?
  0.04      0.00     0.00     0.00     0.00        2  ActionView::Renderable#recompile?
  0.04      0.00     0.00     0.00     0.00        1  Rack::Lint#check_status
  0.04      0.00     0.00     0.00     0.00        1  Module#include
  0.04      0.00     0.00     0.00     0.00        1  Kernel#tap
  0.04      0.01     0.00     0.00     0.01        1  ActionController::Dispatcher#_call
  0.04      0.00     0.00     0.00     0.00        1  Rack::Response#close
  0.04      0.00     0.00     0.00     0.00        1  ActionController::RoutingError#initialize
  0.04      0.02     0.00     0.00     0.02        1  ActionController::Integration::Session#get
  0.04      0.00     0.00     0.00     0.00        2  Array#flatten
  0.04      0.00     0.00     0.00     0.00        2  ActionController::Integration::ControllerCapture::ClassMethods#last_instantiation=
  0.04      0.00     0.00     0.00     0.00        1  ActionController::Routing::RouteSet#extract_request_environment
  0.04      0.00     0.00     0.00     0.00        1  Hash#each_value
  0.04      0.02     0.00     0.00     0.02        1  BrowsingTest#test_homepage
  0.04      0.00     0.00     0.00     0.00        1  ActionView::PathSet#load!
  0.04      0.00     0.00     0.00     0.00        1  <Class::Exception>#exception
  0.04      0.01     0.00     0.00     0.01        1  ActionController::Failsafe#call
  0.04      0.00     0.00     0.00     0.00        1  ActiveSupport::Rescuable#rescue_with_handler
  0.04      0.00     0.00     0.00     0.00        4  Array#<<
  0.04      0.00     0.00     0.00     0.00        3  Object#initialize
  0.04      0.00     0.00     0.00     0.00        1  ActionController::Response#convert_language!
  0.04      0.00     0.00     0.00     0.00        4  Fixnum#+
  0.04      0.00     0.00     0.00     0.00        2  ActionController::Integration::ControllerCapture::ClassMethods#last_instantiation
  0.04      0.00     0.00     0.00     0.00        1  MonitorMixin#mon_acquire
  0.04      0.00     0.00     0.00     0.00        1  ActionController::Integration::ControllerCapture::ClassMethods#clear_last_instantiation!
  0.04      0.00     0.00     0.00     0.00        2  Exception#message
  0.04      0.00     0.00     0.00     0.00        2  String#strip
  0.04      0.00     0.00     0.00     0.00        1  ActiveRecord::ConnectionAdapters::ConnectionPool#connection
  0.04      0.00     0.00     0.00     0.00        2  ActionView::Base#template
  0.04      0.00     0.00     0.00     0.00        3  Hash#default=
  0.04      0.00     0.00     0.00     0.00        1  Regexp#initialize
  0.04      0.00     0.00     0.00     0.00        2  Module#method_defined?
  0.04      0.00     0.00     0.00     0.00        3  Array#compact
  0.04      0.00     0.00     0.00     0.00        1  Kernel#clone
  0.04      0.00     0.00     0.00     0.00        3  Hash#key?
  0.04      0.00     0.00     0.00     0.00        1  ActionController::Response#sending_file?
  0.04      0.00     0.00     0.00     0.00        2  <Class::String>#allocate
  0.04      0.00     0.00     0.00     0.00        1  ActionController::Base#performed?
  0.04      0.00     0.00     0.00     0.00        1  ActionController::Base#assign_names
  0.04      0.00     0.00     0.00     0.00        1  ActionController::Request#path_parameters
  0.03      0.00     0.00     0.00     0.00        1  ActionController::Response#last_modified?
  0.03      0.00     0.00     0.00     0.00        1  Regexp#to_s
  0.03      0.00     0.00     0.00     0.00        2  Symbol#inspect
  0.03      0.00     0.00     0.00     0.00        1  ActionController::Response#etag?
  0.03      0.00     0.00     0.00     0.00        1  Rack::Request#parse_multipart
  0.03      0.00     0.00     0.00     0.00        1  ActionController::Request#content_length
  0.03      0.00     0.00     0.00     0.00        1  ActiveSupport::BacktraceCleaner#filter
  0.03      0.00     0.00     0.00     0.00        1  ActiveSupport::BufferedLogger#info?
  0.03      0.00     0.00     0.00     0.00        1  Rack::Lint#check_content_type
  0.03      0.00     0.00     0.00     0.00        1  ActiveRecord::ConnectionAdapters::ConnectionHandler#clear_active_connections!
  0.03      0.00     0.00     0.00     0.00        1  ActiveRecord::ConnectionAdapters::QueryCache#clear_query_cache
  0.03      0.00     0.00     0.00     0.00        1  ActionController::StringCoercion::UglyBody#each
  0.03      0.00     0.00     0.00     0.00        1  Rack::Request#content_length
  0.03      0.00     0.00     0.00     0.00        1  Array#reverse_each
  0.03      0.00     0.00     0.00     0.00        1  ActionView::Template::EagerPath#load!
  0.03      0.00     0.00     0.00     0.00        2  Module#<
  0.03      0.00     0.00     0.00     0.00        1  ActionController::Layout#initialize
  0.03      0.00     0.00     0.00     0.00        1  <Class::Mime::Type>#lookup
  0.03      0.00     0.00     0.00     0.00        1  ActionController::UrlRewriter#initialize
  0.03      0.00     0.00     0.00     0.00        2  String#<<
  0.03      0.00     0.00     0.00     0.00        4  Integer#to_i
  0.03      0.00     0.00     0.00     0.00        2  Exception#to_s
  0.03      0.00     0.00     0.00     0.00        3  Array#initialize
  0.03      0.00     0.00     0.00     0.00        3  Array#+
  0.03      0.00     0.00     0.00     0.00        2  Kernel#object_id
  0.03      0.00     0.00     0.00     0.00        2  Class#inheritable_attributes
  0.02      0.00     0.00     0.00     0.00        3  Fixnum#<
  0.02      0.00     0.00     0.00     0.00        1  Rack::Lint::InputWrapper#initialize
  0.02      0.00     0.00     0.00     0.00        1  Rack::Lint#check_content_length
  0.02      0.00     0.00     0.00     0.00        2  <Class::Thread>#pass
  0.02      0.00     0.00     0.00     0.00        1  <Class::ActionController::Base>#rescue_handlers
  0.02      0.00     0.00     0.00     0.00        1  ActionController::Base#protected_instance_variables
  0.02      0.00     0.00     0.00     0.00        2  Hash#has_key?
  0.02      0.00     0.00     0.00     0.00        1  ActionView::Base::ProxyModule#initialize
  0.02      0.00     0.00     0.00     0.00        3  <Class::Array>#allocate
  0.02      0.00     0.00     0.00     0.00        1  Symbol#to_sym
  0.02      0.00     0.00     0.00     0.00        1  <Class::Time>#now
  0.02      0.00     0.00     0.00     0.00        2  Kernel#initialize_copy
  0.02      0.00     0.00     0.00     0.00        1  ActionController::StringCoercion::UglyBody#initialize
  0.02      0.00     0.00     0.00     0.00        2  Kernel#=~
  0.02      0.00     0.00     0.00     0.00        1  <Module::Rails>#backtrace_cleaner
  0.02      0.00     0.00     0.00     0.00        2  String#upcase
  0.02      0.00     0.00     0.00     0.00        1  String#html_safe?
  0.02      0.00     0.00     0.00     0.00        1  ActionController::Base#consider_all_requests_local
  0.02      0.00     0.00     0.00     0.00        1  <Class::ActiveRecord::Base>#retrieve_connection
  0.02      0.00     0.00     0.00     0.00        2  Module#extended
